Rk,Coach,Yrs,From,To,G,W,L,T,W-L%â–¼,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
52,Frank Reich,5,2018,2022,65,37,28,0,0.569,9,2,3,1,2,0.333,2,1,0,0,0
53,Chuck Noll+,23,1969,1991,342,193,148,1,0.566,45,12,24,16,8,0.667,2.1,1,4,4,4
54,Wade Phillips,12,1985,2013,146,82,64,0,0.562,18,5,6,1,5,0.167,2.9,1,0,0,0
55,Mike Zimmer,8,2014,2021,129,72,56,1,0.562,16,3,5,2,3,0.4,2.1,1,0,0,0
56,Marv Levy+,17,1978,1997,255,143,112,0,0.561,31,8,19,11,8,0.579,2.7,1,0,0,4
57,Mike Ditka+,14,1982,1999,216,121,95,0,0.56,26,7,12,6,6,0.5,2.6,1,1,1,1
58,Jason Garrett,10,2010,2019,152,85,67,0,0.559,18,3,5,2,3,0.4,2.2,1,0,0,0
59,Chuck Knox,22,1973,1994,334,186,147,1,0.558,39,11,18,7,11,0.389,2.6,1,0,0,0
60,Joe Schmidt+,6,1967,1972,84,43,34,7,0.558,9,1,1,0,1,0,2.5,2,0,0,0
61,Brian Billick,9,1999,2007,144,80,64,0,0.556,16,4,8,5,3,0.625,2.3,1,1,1,1
62,Jimmy Johnson+,9,1989,1999,144,80,64,0,0.556,16,6,13,9,4,0.692,2.7,1,2,2,2
63,Jim Caldwell,7,2009,2017,112,62,50,0,0.554,12,4,6,2,4,0.333,2.1,1,0,0,1
64,Mike Shanahan,20,1988,2013,308,170,138,0,0.552,32,8,14,8,6,0.571,2.6,1,2,2,2
65,Sid Gillman+,18,1955,1974,228,122,99,7,0.552,23,6,6,1,5,0.167,2.6,1,1,0,0
66,Chuck Pagano,6,2012,2017,96,53,43,0,0.552,10,3,6,3,3,0.5,2,1,0,0,0
67,Raymond Berry+,6,1984,1989,87,48,39,0,0.552,9,2,5,3,2,0.6,2.5,1,0,0,1
68,Jerry Burns,6,1986,1991,95,52,43,0,0.547,9,3,6,3,3,0.5,2.5,1,,,
69,Dennis Green,13,1992,2006,207,113,94,0,0.546,19,8,12,4,8,0.333,2.5,1,0,0,0
70,Jim Mora,15,1986,2001,231,125,106,0,0.541,19,6,6,0,6,0,2.9,1,0,0,0
71,Chuck Fairbanks,6,1973,1978,85,46,39,0,0.541,7,2,2,0,2,0,2.8,1,0,0,0
72,Bobby Ross,9,1992,2000,137,74,63,0,0.54,11,5,8,3,5,0.375,2.8,1,0,0,1
73,Dan Reeves,23,1981,2003,357,190,165,2,0.535,25,9,20,11,9,0.55,2.7,1,0,0,4
74,Tom Coughlin,20,1995,2015,320,170,150,0,0.531,20,9,19,12,7,0.632,2.5,1,2,2,2
75,Doug Pederson,6,2016,2022,80,42,37,1,0.531,5,3,6,4,2,0.667,2.2,1,1,1,1
76,Jack Pardee,11,1975,1994,164,87,77,0,0.53,10,5,6,1,5,0.167,2.4,1,0,0,0
77,Allie Sherman,8,1961,1968,112,57,51,4,0.528,6,3,3,0,3,0,3,1,,,
78,Tom Flores+,12,1979,1994,184,97,87,0,0.527,10,5,11,8,3,0.727,3.3,1,2,2,2
79,Brad Childress,5,2006,2010,74,39,35,0,0.527,4,2,3,1,2,0.333,2.2,1,,,
80,Mike Holovak,9,1961,1976,108,52,47,9,0.525,5,1,2,1,1,0.5,2.8,1,0,0,0
81,Dick Vermeil+,15,1976,2005,229,120,109,0,0.524,11,6,11,6,5,0.545,3,1,1,1,2
82,John Robinson,9,1983,1991,143,75,68,0,0.524,7,6,10,4,6,0.4,2.3,1,,,
83,Ron Rivera,12,2011,2022,173,90,82,1,0.523,8,5,8,3,5,0.375,2.2,1,0,0,1
84,Matt Nagy,4,2018,2021,65,34,31,0,0.523,3,2,2,0,2,0,2.3,1,0,0,0
85,Gary Kubiak,10,2006,2016,157,82,75,0,0.522,7,3,7,5,2,0.714,2.6,1,1,1,1
86,Jim Fassel,7,1997,2003,112,58,53,1,0.522,5,3,5,2,3,0.4,2.4,1,0,0,1
87,John Fox,16,2002,2017,256,133,123,0,0.52,10,7,15,8,7,0.533,2.4,1,0,0,2
88,Bill O'Brien,7,2014,2020,100,52,48,0,0.52,4,4,6,2,4,0.333,1.7,1,0,0,0
89,Art Shell+,7,1989,2006,108,56,52,0,0.519,4,3,5,2,3,0.4,2.9,1,,,
90,Ron Meyer,9,1982,1991,104,54,50,0,0.519,4,2,2,0,2,0,2.8,1,0,0,0
91,Marvin Lewis,16,2003,2018,256,131,122,3,0.518,9,7,7,0,7,0,2.4,1,0,0,0
92,Steve Mariucci,9,1997,2005,139,72,67,0,0.518,5,4,7,3,4,0.429,2.7,1,0,0,0
93,Ray Malavasi,6,1966,1982,85,44,41,0,0.518,3,3,6,3,3,0.5,2.5,1,0,0,1
94,Bum Phillips,11,1975,1985,159,82,77,0,0.516,5,3,7,4,3,0.571,2.8,2,0,0,0
95,Jeff Fisher,22,1994,2016,339,173,165,1,0.512,8,6,11,5,6,0.455,2.8,1,0,0,1
96,Jon Gruden,15,1998,2021,229,117,112,0,0.511,5,6,10,5,5,0.5,2.4,1,1,1,1
97,Anthony Lynn,5,2016,2020,65,33,32,0,0.508,1,1,2,1,1,0.5,2.8,2,0,0,0
98,John Ralston,5,1972,1976,70,34,33,3,0.507,1,0,0,0,0,,2.4,2,0,0,0
99,Lovie Smith,12,2004,2022,176,89,87,0,0.506,2,3,6,3,3,0.5,2.6,1,0,0,1
100,Dan Quinn,6,2015,2020,85,43,42,0,0.506,1,2,5,3,2,0.6,2.3,1,0,0,1
